story:  John didn't know he was being followed. "When he got on the train, a man approached him." He handed John a small piece of paper. It said RAVINCORP in bold letters. "John had been offered a job by the CIA, he just didn't know it yet."	 query:event: The man was holding a piece of paper starts before He hand John a small piece of paper  	pred: negative	 label: positive
story:  Vicki was not popular. She had told a series of big lies to her friends. No one could trust her anymore. "She told her friends that she was sorry, but none of them believed her." Vicki decided she had a lot of work to do.	 query:event: Vicki felt the need to be popular. starts before Vicki decide she had a lot of work to do  	pred: negative	 label: positive
story:  Vicki was not popular. She had told a series of big lies to her friends. No one could trust her anymore. "She told her friends that she was sorry, but none of them believed her." Vicki decided she had a lot of work to do.	 query:event: Vicki felt the need to be popular. starts after Vicki decide she had a lot of work to do  	pred: positive	 label: negative
story:  I was washing dishes and noticed my sink was clogged. I didn't see anything obvious clogging it. I looked under the counter and grabbed the bottle of drain cleaner. I poured the drain cleaner down the drain. "Later, I washed the drain and the clog was gone."	 query:event: I clogged the sink starts before I notice my sink was clogged  	pred: negative	 label: positive
story:  I was washing dishes and noticed my sink was clogged. I didn't see anything obvious clogging it. I looked under the counter and grabbed the bottle of drain cleaner. I poured the drain cleaner down the drain. "Later, I washed the drain and the clog was gone."	 query:event: I clogged the sink starts after I notice my sink was clogged  	pred: positive	 label: negative
story:  Sara was getting ready to go to bed. Then, her boyfriend called. They began talking and stayed that way all night. As the sun rose, she was having trouble staying awake. He said goodnight and she fell asleep.	 query:event: Sara was sleepy. starts before He say goodnight  	pred: negative	 label: positive
story:  Sara was getting ready to go to bed. Then, her boyfriend called. They began talking and stayed that way all night. As the sun rose, she was having trouble staying awake. He said goodnight and she fell asleep.	 query:event: Sara was sleepy. starts after He say goodnight  	pred: positive	 label: negative
story:  Amy loved pretty things. Flowers were her favorite. She picked a bouquet of them from her garden. She put them in a vase and smelled them. They were the prettiest she had ever had!	 query:event: Amy was in the garden starts after Flowers be her favorite  	pred: negative	 label: positive
story:  Amy loved pretty things. Flowers were her favorite. She picked a bouquet of them from her garden. She put them in a vase and smelled them. They were the prettiest she had ever had!	 query:event: Amy was in the garden starts before Flowers be her favorite  	pred: positive	 label: negative
story:  On Megan's ninth birthday, her mom surprised her. She told Megan there would still be vegetables to eat! Megan hated vegetables and she was very unhappy. But then her mom pulled out a carrot cake and Rice Krispies! Megan was more than happy to eat her "vegetables" that night!	 query:event: Megan ate dinner. starts before her mom pulled out carrot cake and Rice Krispies  	pred: negative	 label: positive
story:  On Megan's ninth birthday, her mom surprised her. She told Megan there would still be vegetables to eat! Megan hated vegetables and she was very unhappy. But then her mom pulled out a carrot cake and Rice Krispies! Megan was more than happy to eat her "vegetables" that night!	 query:event: Megan ate dinner. starts after her mom pulled out carrot cake and Rice Krispies  	pred: positive	 label: negative
story:  Kim had to do a report on a mammal for her biology class. She decided to do her report on wombats. "After reading about wombats, she thought that they were hilarious." She included a lot of humor in her written report about wombats. Kim's teacher loved the humor in her report about wombats.	 query:event: Kim got a good grade on her report about wombats. starts before Kim's teacher loved the humor in her report about wombats.  	pred: positive	 label: negative
story:  Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. "Two years later, she got her degree and the job she wanted." "After six months, she realized the corporate life was not for her." She is now a manager at the restaurant that she worked at before.	 query:event: Chelsea applied for a corporate job starts before she got her degree and the job she wanted  	pred: negative	 label: positive
story:  Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. "Two years later, she got her degree and the job she wanted." "After six months, she realized the corporate life was not for her." She is now a manager at the restaurant that she worked at before.	 query:event: Chelsea applied for a corporate job starts after she got her degree and the job she wanted  	pred: positive	 label: negative
story:  This extra innings baseball game made us all tired. Zack, our worn out pitcher, weakly threw the ball. The batter swung hard and crushed the ball. The ball flew way over my head at second base. In the outfield, Landon dove to the grass and made an amazing catch.	 query:event: Zack held the ball starts before Zack, our worn out pitcher, weakly threw the ball.  	pred: negative	 label: positive
story:  This extra innings baseball game made us all tired. Zack, our worn out pitcher, weakly threw the ball. The batter swung hard and crushed the ball. The ball flew way over my head at second base. In the outfield, Landon dove to the grass and made an amazing catch.	 query:event: Zack held the ball starts after Zack, our worn out pitcher, weakly threw the ball.  	pred: positive	 label: negative
story:  Zoltan was a very rich man. He had all the tools to control people. One day a peasant worker was waiting for Lord Zoltan. Zoltan decided not to give the peasant any work. The peasant starved to death.	 query:event: The peasant was hoping to get work from Lord Zoltan starts after the peasant was waiting for Lord Zoltan  	pred: positive	 label: negative
story:  It was the first morning of Kate's trip in Las Vegas. Kate wanted to go to a restaurant for breakfast. But her friends wanted to get room service. Kate was leery because she always heard room service was expensive. But she decided to go along with it just for the experience.	 query:event: Kate asked her friends where to go for breakfast starts after Kate wanted to go to a restaurant  	pred: negative	 label: positive
story:  I was on my way to work. I got stopped by a train. I waited for a while. The train finally passed. I got to work late.	 query:event: The railroad crossing arms were down. starts before I was stopped by the train  	pred: negative	 label: positive
story:  I was on my way to work. I got stopped by a train. I waited for a while. The train finally passed. I got to work late.	 query:event: The railroad crossing arms were down. starts after I was stopped by the train  	pred: positive	 label: negative
story:  Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead.	 query:event: Tim's smart phone had an internet connection starts before Tim saw they had dial up  	pred: negative	 label: positive
story:  Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead.	 query:event: Tim's smart phone had an internet connection starts after Tim saw they had dial up  	pred: positive	 label: negative
story:  The door closed too hard. A lamp fell down. It broke into small shards. A man stepped on the lamp. The lamp punctured his flesh.	 query:event: The house shook. starts before The lamp puncture his flesh  	pred: negative	 label: positive
story:  The door closed too hard. A lamp fell down. It broke into small shards. A man stepped on the lamp. The lamp punctured his flesh.	 query:event: The house shook. starts after The lamp puncture his flesh  	pred: positive	 label: negative
story:  Griffin needed to write a book report for school. He went to the library to find a book. He found an interesting book about Abraham Lincoln. "Griffin started to read the book, but fell asleep." "When he woke, Griffin decided to pick a different topic."	 query:event: Griffin is easily distracted starts before He go to the library to find a book  	pred: negative	 label: positive
story:  Alice loved flowers. "One day, she decided she wanted to plant a garden." "She and her grandmother bought geraniums, roses, and sunflowers." They planted their garden. "A few weeks later, it was beautiful!"	 query:event: Alice pulled weeds in her garden. starts after They plant their garden  	pred: negative	 label: positive
story:  Alice loved flowers. "One day, she decided she wanted to plant a garden." "She and her grandmother bought geraniums, roses, and sunflowers." They planted their garden. "A few weeks later, it was beautiful!"	 query:event: Alice pulled weeds in her garden. starts before They plant their garden  	pred: positive	 label: negative
story:  Tom has a big presentation at work tomorrow. He has not prepared for the presentation. He works all night long to present something for tomorrow. He spilled coffee on the USB stick containing his presentation. "He gets to work and wings his presentation, everyone loves it."	 query:event: Tom is nervous about presentation starts before he works all night on presentation  	pred: negative	 label: positive
story:  Tom has a big presentation at work tomorrow. He has not prepared for the presentation. He works all night long to present something for tomorrow. He spilled coffee on the USB stick containing his presentation. "He gets to work and wings his presentation, everyone loves it."	 query:event: Tom is nervous about presentation starts after he works all night on presentation  	pred: positive	 label: negative
story:  Rick never smoked in his life. His friends invited him to play poker. Everyone but Rick smoked cigars. Rick decided to try smoking a cigar. He was immediately hooked and is now a cigar enthusiast.	 query:event: Rick's friends suggested he try smoking a cigar starts after Everyone but Rick smoked cigars.  	pred: negative	 label: positive
story:  Rick never smoked in his life. His friends invited him to play poker. Everyone but Rick smoked cigars. Rick decided to try smoking a cigar. He was immediately hooked and is now a cigar enthusiast.	 query:event: Rick's friends suggested he try smoking a cigar starts before Everyone but Rick smoked cigars.  	pred: positive	 label: negative
story:  "Haley was eating a bologna sandwich, worrying about the holidays." "She wondered what she was going to do for gifts, having no money." The postman dropped off a Christmas card from her parents. The card had a gift card in it. Haley decided to use the money to buy gifts for her family.	 query:event: The postman opened Haley's mailbox. starts before The postman drop a Christmas card from her parents  	pred: negative	 label: positive
story:  "Haley was eating a bologna sandwich, worrying about the holidays." "She wondered what she was going to do for gifts, having no money." The postman dropped off a Christmas card from her parents. The card had a gift card in it. Haley decided to use the money to buy gifts for her family.	 query:event: The postman opened Haley's mailbox. starts after The postman drop a Christmas card from her parents  	pred: positive	 label: negative
story:  Yesterday Kelly went on numerous college visits. Her parents took her around the state to look. She found about three that she really liked. At the end of the trip she decided to apply. She ended up getting into her top choice.	 query:event: Kelly applied to multiple colleges starts after the end of the trip  	pred: negative	 label: positive
story:  Yesterday Kelly went on numerous college visits. Her parents took her around the state to look. She found about three that she really liked. At the end of the trip she decided to apply. She ended up getting into her top choice.	 query:event: Kelly applied to multiple colleges starts before the end of the trip  	pred: positive	 label: negative
story:  Richards loves the drum. He picks up his drumsticks. Then goes to his practice room. Richard sits down at his drum kit. Finally, he plays a beat on his drums.	 query:event: Richard opens the door to the practice room. starts after he goes to the practice room.  	pred: negative	 label: positive
story:  Richards loves the drum. He picks up his drumsticks. Then goes to his practice room. Richard sits down at his drum kit. Finally, he plays a beat on his drums.	 query:event: Richard opens the door to the practice room. starts before he goes to the practice room.  	pred: positive	 label: negative
story:  Brittany needs money for bills. She checked her bank account but it was empty. Brittany decided she needed another job. Brittany decided to use Amazon Mechanical Turk! "Now, Brittany has a great job, and can pay all of her bills!"	 query:event: Brittany spent all of her money starts before Brittany need money for bills  	pred: negative	 label: positive
story:  Brittany needs money for bills. She checked her bank account but it was empty. Brittany decided she needed another job. Brittany decided to use Amazon Mechanical Turk! "Now, Brittany has a great job, and can pay all of her bills!"	 query:event: Brittany spent all of her money starts after Brittany need money for bills  	pred: positive	 label: negative
story:  I was on my way to work. I got stopped by a train. I waited for a while. The train finally passed. I got to work late.	 query:event: I walked to my desk starts after I get stopped by a train  	pred: negative	 label: positive
story:  Bob love to eat steak. He wants to get steak for an upcoming barbeque. He went to the store but he couldn't find any steak. He continued searching but he still didn't find any steak. His son brought enough steak for everyone for the barbeque.	 query:event: Bob ate lots of steak starts after eat steak  	pred: negative	 label: positive
story:  Rick was watching TV. And he noticed that there was nothing to watch but children's shows. One of the shows he remembered. And he used to watch it when he was a child. Rick enjoyed being reminded of his childhood.	 query:event: Rick was no longer a child. starts before he watched a childhood TV show.  	pred: negative	 label: positive
story:  Rick was watching TV. And he noticed that there was nothing to watch but children's shows. One of the shows he remembered. And he used to watch it when he was a child. Rick enjoyed being reminded of his childhood.	 query:event: Rick was no longer a child. starts after he watched a childhood TV show.  	pred: positive	 label: negative
story:  My girlfriend and I went to the outer banks for Thanksgiving. We went to visit her family. It was a long drive. There was lots of traffic on the way. We still made it in time to celebrate with everyone.	 query:event: We slept over at her family's place starts after the celebration  	pred: negative	 label: positive
story:  My girlfriend and I went to the outer banks for Thanksgiving. We went to visit her family. It was a long drive. There was lots of traffic on the way. We still made it in time to celebrate with everyone.	 query:event: We slept over at her family's place starts before the celebration  	pred: positive	 label: negative
story:  Simon lost his job. He needed a new one as soon as possible. He sent out a bunch of applications. "At first, he got no response." Finally someone contacted him and offered him a job.	 query:event: Simon feels very stressed out. starts after He send out a bunch of applications  	pred: negative	 label: positive
story:  Simon lost his job. He needed a new one as soon as possible. He sent out a bunch of applications. "At first, he got no response." Finally someone contacted him and offered him a job.	 query:event: Simon feels very stressed out. starts before He send out a bunch of applications  	pred: positive	 label: negative
story:  Hannah decided to go for a walk. She was far away from home when it suddenly started raining. Hannah ran home as fast as she could. When she arrived home she was soaked and freezing. Hannah decided she would always check the weather from now on.	 query:event: Hannah was on the road starts before  it suddenly started raining.  	pred: negative	 label: positive
story:  Hannah decided to go for a walk. She was far away from home when it suddenly started raining. Hannah ran home as fast as she could. When she arrived home she was soaked and freezing. Hannah decided she would always check the weather from now on.	 query:event: Hannah was on the road starts after  it suddenly started raining.  	pred: positive	 label: negative
story:  Jill has been practicing everyday so she can beat Roz at the big race. She has been running two times a day and only eating healthy food. "On the day of the race, she feels ready." The officials start the race. Jill and Roz run a fair race and Jill wins!	 query:event: Jill really wanted to beat Roz at the race. starts before Jill had been practicing everyday so she could beat Roz at the big race  	pred: negative	 label: positive
story:  Jill has been practicing everyday so she can beat Roz at the big race. She has been running two times a day and only eating healthy food. "On the day of the race, she feels ready." The officials start the race. Jill and Roz run a fair race and Jill wins!	 query:event: Jill really wanted to beat Roz at the race. starts after Jill had been practicing everyday so she could beat Roz at the big race  	pred: positive	 label: negative
story:  Jay's sister had a camera. She just left it around and did not use it. Jay decided to take it for himself. He started taking photos everywhere he goes. He started loving photography.	 query:event: The camera worked. starts before He start taking photos everywhere he goes  	pred: negative	 label: positive
story:  Jay's sister had a camera. She just left it around and did not use it. Jay decided to take it for himself. He started taking photos everywhere he goes. He started loving photography.	 query:event: The camera worked. starts after He start taking photos everywhere he goes  	pred: positive	 label: negative
story:  Lexie was so excited for Halloween. She dressed up as a pony. She went to lots of houses to get candy. Lexi got scared by a boy in a scary mask. She never wants to participate in Halloween again.	 query:event: Lexi didn't eat her candy starts after She never want to participate in Halloween again  	pred: negative	 label: positive
story:  Lexie was so excited for Halloween. She dressed up as a pony. She went to lots of houses to get candy. Lexi got scared by a boy in a scary mask. She never wants to participate in Halloween again.	 query:event: Lexi didn't eat her candy starts before She never want to participate in Halloween again  	pred: positive	 label: negative
story:  Susie was trying to find her way home. All the sudden she got lost. It upset her. She had to rely on her gps. It took five hours to get home.	 query:event: She was alive. starts before Susie try to find her way home  	pred: negative	 label: positive
story:  Susie was trying to find her way home. All the sudden she got lost. It upset her. She had to rely on her gps. It took five hours to get home.	 query:event: She was alive. starts after Susie try to find her way home  	pred: positive	 label: negative
story:  Tommy promised me that he was going to draw a good sketch of me. He took several minutes to write everything out. "When he was done with the outline, he showed it to me." It ended up being my face on top of a banana. I ripped the page and threw it away.	 query:event: Tommy laughed at me starts after I ripped the page  	pred: negative	 label: positive
story:  Tommy promised me that he was going to draw a good sketch of me. He took several minutes to write everything out. "When he was done with the outline, he showed it to me." It ended up being my face on top of a banana. I ripped the page and threw it away.	 query:event: Tommy laughed at me starts before I ripped the page  	pred: positive	 label: negative
story:  Amy loved pretty things. Flowers were her favorite. She picked a bouquet of them from her garden. She put them in a vase and smelled them. They were the prettiest she had ever had!	 query:event: Amy put the vase of flower in her room starts after They be the prettiest she had ever had  	pred: negative	 label: positive
story:  Amy loved pretty things. Flowers were her favorite. She picked a bouquet of them from her garden. She put them in a vase and smelled them. They were the prettiest she had ever had!	 query:event: Amy put the vase of flower in her room starts before They be the prettiest she had ever had  	pred: positive	 label: negative
story:  Ron really wanted to join the baseball team. But he could not throw or hit a ball at all! Then the coach had him catch a few. Ron was a natural! He made the team right away!	 query:event: Ron put on a baseball glove starts before the coach have him catch a few  	pred: negative	 label: positive
story:  Ron really wanted to join the baseball team. But he could not throw or hit a ball at all! Then the coach had him catch a few. Ron was a natural! He made the team right away!	 query:event: Ron put on a baseball glove starts after the coach have him catch a few  	pred: positive	 label: negative
story:  Shelby attended an after school arts class. She brought her art supplies with her. Shelby excused herself to the restroom during the class. "When she returned, her supplies were gone." Another student told Shelby who the thief was.	 query:event: Shelby was an art major. starts before She bring her art supplies with her  	pred: negative	 label: positive
story:  Shelby attended an after school arts class. She brought her art supplies with her. Shelby excused herself to the restroom during the class. "When she returned, her supplies were gone." Another student told Shelby who the thief was.	 query:event: Shelby was an art major. starts after She bring her art supplies with her  	pred: positive	 label: negative
story:  It was time for the Senior Prom. Emily was so excited! She went shopping for her dress finding the perfect one. Emily called her best friend Susie. It turned out they both bought the same exact dress!	 query:event: Susie went dress shopping starts before She go shopping for her dress finding the perfect one  	pred: negative	 label: positive
story:  It was time for the Senior Prom. Emily was so excited! She went shopping for her dress finding the perfect one. Emily called her best friend Susie. It turned out they both bought the same exact dress!	 query:event: Susie went dress shopping starts after She go shopping for her dress finding the perfect one  	pred: positive	 label: negative
story:  Milwaukee resident Wallace wanted to go swimming in the lake. "It was early September, and he donned his swim trunks." He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	 query:event: Wallace was looking forward to swimming in the lake. starts after he drove to the lake.  	pred: negative	 label: positive
story:  Milwaukee resident Wallace wanted to go swimming in the lake. "It was early September, and he donned his swim trunks." He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	 query:event: Wallace was looking forward to swimming in the lake. starts before he drove to the lake.  	pred: positive	 label: negative
story:  Bob love to eat steak. He wants to get steak for an upcoming barbeque. He went to the store but he couldn't find any steak. He continued searching but he still didn't find any steak. His son brought enough steak for everyone for the barbeque.	 query:event: Bob did not buy any steak starts before eat steak  	pred: negative	 label: positive
story:  Bob love to eat steak. He wants to get steak for an upcoming barbeque. He went to the store but he couldn't find any steak. He continued searching but he still didn't find any steak. His son brought enough steak for everyone for the barbeque.	 query:event: Bob did not buy any steak starts after eat steak  	pred: positive	 label: negative
story:  Ellen's nephew was selling raffle tickets. Ellen decided to buy tickets. Someone from the fundraiser called Ellen. She had won a prize of five hundred dollars! Ellen drove to town to pick up her cash prize.	 query:event: Ellen wanted to help her nephew. starts before the fundraiser call Ellen  	pred: negative	 label: positive
story:  Ellen's nephew was selling raffle tickets. Ellen decided to buy tickets. Someone from the fundraiser called Ellen. She had won a prize of five hundred dollars! Ellen drove to town to pick up her cash prize.	 query:event: Ellen wanted to help her nephew. starts after the fundraiser call Ellen  	pred: positive	 label: negative
story:  Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse.	 query:event: The customer was in the car. starts before the customer left the purse unattended.  	pred: negative	 label: positive
story:  Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse.	 query:event: The customer was in the car. starts after the customer left the purse unattended.  	pred: positive	 label: negative
story:  Evan was nine but sometimes still wet the bed. He was invited to a sleepover but afraid to attend. He did not want anyone to discover his secret! Then his mom bought him a pack of absorbent underwear to wear. Evan felt much more secure with the backup underwear on!	 query:event: Evan successfully attended the sleepover. starts before Evan was more comfortable with his absorbent underwear on  	pred: positive	 label: negative
story:  My dorm mates were incredible pranksters. One day they filled a thirty gallon Rubbermaid trash can with water. "The opened the laundry room door, propping the can on the door's top." "As the floor manager entered the laundry room, they nudged the door." The entire thirty gallons poured down on the manager in an icy flood!	 query:event: The trash can was very heavy. starts after they filled it with water  	pred: negative	 label: positive
story:  My dorm mates were incredible pranksters. One day they filled a thirty gallon Rubbermaid trash can with water. "The opened the laundry room door, propping the can on the door's top." "As the floor manager entered the laundry room, they nudged the door." The entire thirty gallons poured down on the manager in an icy flood!	 query:event: The trash can was very heavy. starts before they filled it with water  	pred: positive	 label: negative
story:  Susie wanted to open up a convenience store. But she really needed a loan for that. So she went to loan office. She was not sure she would get it. But she was almost instantly approved.	 query:event: Susie was nervous about not getting approved starts before she was not sure she would get it  	pred: negative	 label: positive
story:  Susie wanted to open up a convenience store. But she really needed a loan for that. So she went to loan office. She was not sure she would get it. But she was almost instantly approved.	 query:event: Susie was nervous about not getting approved starts after she was not sure she would get it  	pred: positive	 label: negative
story:  Luke got detention at school last week. He has to stay after school for an hour every day. Apparently he got into a fight with another kid. The other kid got detention too. They both learned that fighting just makes things worse.	 query:event: Luke was grounded by his parents starts after The other kid get detention too  	pred: negative	 label: positive
story:  Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free.	 query:event: Martha ran out of eggs starts before she bought groceries  	pred: negative	 label: positive
story:  Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free.	 query:event: Martha ran out of eggs starts after she bought groceries  	pred: positive	 label: negative
story:  Kim had to do a report on a mammal for her biology class. She decided to do her report on wombats. "After reading about wombats, she thought that they were hilarious." She included a lot of humor in her written report about wombats. Kim's teacher loved the humor in her report about wombats.	 query:event: Kim did some search about different mammals. starts after she had to do a report on a mammal for her biology class.  	pred: negative	 label: positive
story:  Kim had to do a report on a mammal for her biology class. She decided to do her report on wombats. "After reading about wombats, she thought that they were hilarious." She included a lot of humor in her written report about wombats. Kim's teacher loved the humor in her report about wombats.	 query:event: Kim did some search about different mammals. starts before she had to do a report on a mammal for her biology class.  	pred: positive	 label: negative
story:  I went to have cereal today. "The milk however, was spoiled." I noticed it right away. It was curdled. So I had to immediately throw it away.	 query:event: The person won't eat spoiled foods. starts after I throw it  	pred: positive	 label: negative
story:  The door closed too hard. A lamp fell down. It broke into small shards. A man stepped on the lamp. The lamp punctured his flesh.	 query:event: Someone slammed the door shut. starts before the door closed too hard  	pred: negative	 label: positive
story:  The door closed too hard. A lamp fell down. It broke into small shards. A man stepped on the lamp. The lamp punctured his flesh.	 query:event: Someone slammed the door shut. starts after the door closed too hard  	pred: positive	 label: negative
story:  Barry is very tall. His feet hung off his bed. "One day, Barry bought a very long bed." He slept very well that night. Barry will never sleep in a normal bed again.	 query:event: Barry dumped his old bed.  starts before He sleep very well  	pred: negative	 label: positive
story:  Barry is very tall. His feet hung off his bed. "One day, Barry bought a very long bed." He slept very well that night. Barry will never sleep in a normal bed again.	 query:event: Barry dumped his old bed.  starts after He sleep very well  	pred: positive	 label: negative
story:  Zoltan was a very rich man. He had all the tools to control people. One day a peasant worker was waiting for Lord Zoltan. Zoltan decided not to give the peasant any work. The peasant starved to death.	 query:event: The peasant was alive. starts before Zoltan decided not to give the peasant any work  	pred: negative	 label: positive
story:  Zoltan was a very rich man. He had all the tools to control people. One day a peasant worker was waiting for Lord Zoltan. Zoltan decided not to give the peasant any work. The peasant starved to death.	 query:event: The peasant was alive. starts after Zoltan decided not to give the peasant any work  	pred: positive	 label: negative
story:  A boy walked up to the ticket taker at the local circus. He asked if he could get in for free because he was poor. The ticket taker pitied the boy but couldn't do what he wanted. The boy began to dance for the people in line to earn money. The boy bought his ticket and gave the ticket taker a dirty look.	 query:event: the ticket taker felt guilty for not helping the boy starts after the ticket taker couldn't help  	pred: negative	 label: positive
story:  A boy walked up to the ticket taker at the local circus. He asked if he could get in for free because he was poor. The ticket taker pitied the boy but couldn't do what he wanted. The boy began to dance for the people in line to earn money. The boy bought his ticket and gave the ticket taker a dirty look.	 query:event: the ticket taker felt guilty for not helping the boy starts before the ticket taker couldn't help  	pred: positive	 label: negative
story:  Hannah decided to go for a walk. She was far away from home when it suddenly started raining. Hannah ran home as fast as she could. When she arrived home she was soaked and freezing. Hannah decided she would always check the weather from now on.	 query:event: Hannah caught a cold starts after she was soaked and freezing.  	pred: negative	 label: positive
story:  Hannah decided to go for a walk. She was far away from home when it suddenly started raining. Hannah ran home as fast as she could. When she arrived home she was soaked and freezing. Hannah decided she would always check the weather from now on.	 query:event: Hannah caught a cold starts before she was soaked and freezing.  	pred: positive	 label: negative
story:  Johnny saw the other kids jumping ramps with their bikes. He then attempted to make some jumps himself but crashed each time. Johnny was determined to jump ramps so he practiced every day. He started with small jumps and then graduated to the big ones. Johnny was able to out-jump the best bike jumpers.	 query:event: Johnny began to become jealous of the other kids starts before He graduate to the big ones  	pred: negative	 label: positive
story:  Johnny saw the other kids jumping ramps with their bikes. He then attempted to make some jumps himself but crashed each time. Johnny was determined to jump ramps so he practiced every day. He started with small jumps and then graduated to the big ones. Johnny was able to out-jump the best bike jumpers.	 query:event: Johnny began to become jealous of the other kids starts after He graduate to the big ones  	pred: positive	 label: negative
story:  Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead.	 query:event: Tim's smart phone had an internet connection starts after Tim try to use the internet  	pred: negative	 label: positive
story:  Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead.	 query:event: Tim's smart phone had an internet connection starts before Tim try to use the internet  	pred: positive	 label: negative
story:  Kelly made herself a cup of hot tea. She put in the tea bag and took a sip. It was delicious. "However to her dismay, she spilled some." Kelly ended up with a burn.	 query:event: The water was very hot starts after It be delicious  	pred: negative	 label: positive
story:  Kelly made herself a cup of hot tea. She put in the tea bag and took a sip. It was delicious. "However to her dismay, she spilled some." Kelly ended up with a burn.	 query:event: The water was very hot starts before It be delicious  	pred: positive	 label: negative
story:  Mary always bragged about how good she was at bowling. Mary's co-worker Steve challenged her to a bowling competition. Steve beat Mary four times in a row. Mary sat on the steps with a sad look on her face. How was she to know that Steve was a college bowling champion?	 query:event: Steve liked to show off his bowling skills. starts after challenging Mary to a competition  	pred: negative	 label: positive
story:  Mary always bragged about how good she was at bowling. Mary's co-worker Steve challenged her to a bowling competition. Steve beat Mary four times in a row. Mary sat on the steps with a sad look on her face. How was she to know that Steve was a college bowling champion?	 query:event: Steve liked to show off his bowling skills. starts before challenging Mary to a competition  	pred: positive	 label: negative
story:  Graham was playing among his toys. He wanted to climb and tried using a toy box to do it. Suddenly the toy box snapped and broke. Graham was so sad because it was one of his favorite toys. He promised to be more careful with his toys from then on.	 query:event: Graham put his favorite toy in the trash starts after he was so sad it was one of his favorite toys  	pred: negative	 label: positive
story:  Tammy wanted to improve her typing. She practiced playing a typing game after school everyday. She eventually increased her word per minute dramatically. Tammy became really proficient in her computer skills. She was able to get a great job because of her computer skills.	 query:event: Tammy's words per minute is above average starts after She increase her word per minute dramatically  	pred: negative	 label: positive
story:  Tammy wanted to improve her typing. She practiced playing a typing game after school everyday. She eventually increased her word per minute dramatically. Tammy became really proficient in her computer skills. She was able to get a great job because of her computer skills.	 query:event: Tammy's words per minute is above average starts before She increase her word per minute dramatically  	pred: positive	 label: negative
story:  Jane is doing some light shopping on a Saturday. She decides she needs a new outfit for a party later that week. She picks out a cute new black dress. She then decides she needs some shoes to match. She finds and buys a very cute pair of black heels.	 query:event: Jane tries on a black dress starts after she picks out a cute new black dress  	pred: negative	 label: positive
story:  Martin realizes that he needs to get more exercise. He decides to have a walk around the block before he goes to bed. That night he sleeps more deeply than normal. He decides to take a walk every night before going to bed. Martin is very happy he is getting more exercise.	 query:event: Martin has been exercising less frequently lately. starts after Martin realized he needed to exercise more  	pred: positive	 label: negative
story:  I used to smoke when I was younger. No matter the weather I never smoked inside. One day I was lighting a cigarette as i walked out the door. I looked up and saw three federal agents standing next to me. It turned out they were looking for the previous tenant.	 query:event: I stopped smoking starts after I saw three federal agents standing next to me  	pred: negative	 label: positive
story:  Daniel was setting up for Thanksgiving dinner. She needed to arrange place cards for everyone. At first she put her brother and uncle near each other. "Then, her sister warned her that the two had been fighting." She managed to change the arrangement right before they arrived.	 query:event: it is thanksgiving day starts before she put her brother and uncle's cards next to each other  	pred: negative	 label: positive
story:  Daniel was setting up for Thanksgiving dinner. She needed to arrange place cards for everyone. At first she put her brother and uncle near each other. "Then, her sister warned her that the two had been fighting." She managed to change the arrangement right before they arrived.	 query:event: it is thanksgiving day starts after she put her brother and uncle's cards next to each other  	pred: positive	 label: negative
story:  Amy was learning to cook for herself. She decided she would make beans to have as protein for a week. She spent hours soaking the beans before cooking them. After she put them on she laid down and fell asleep. Her mother woke her up to inform her the beans burned.	 query:event: Amy thought the beans would take a while to cook starts after she laid down and fell asleep  	pred: negative	 label: positive
story:  Amy was learning to cook for herself. She decided she would make beans to have as protein for a week. She spent hours soaking the beans before cooking them. After she put them on she laid down and fell asleep. Her mother woke her up to inform her the beans burned.	 query:event: Amy thought the beans would take a while to cook starts before she laid down and fell asleep  	pred: positive	 label: negative
story:  I was sitting in class falling asleep. "Suddenly, the teacher asked me a question." I sat there speechless. I randomly told the teacher that two was the answer. "Surprisingly, I was completely right."	 query:event: I sat down in my seat starts before I sit in class falling asleep  	pred: negative	 label: positive
